ticker,company_name,year,fcf,revenue,operating_cf,capex,shares_outstanding,market_price
TCS.NS,Tata Consultancy Services,2023,45000,220000,55000,10000,3700000000,3500
TCS.NS,Tata Consultancy Services,2022,42000,210000,52000,10000,3700000000,3200
TCS.NS,Tata Consultancy Services,2021,38000,195000,48000,10000,3650000000,3800
INFY.NS,Infosys Limited,2023,22000,180000,28000,6000,4150000000,1450
INFY.NS,Infosys Limited,2022,20000,165000,26000,6000,4150000000,1550
INFY.NS,Infosys Limited,2021,18000,155000,24000,6000,4100000000,1700
AAPL,Apple Inc,2023,95000,380000,110000,15000,15500000000,190
AAPL,Apple Inc,2022,88000,365000,105000,17000,15600000000,180
AAPL,Apple Inc,2021,82000,350000,100000,18000,15700000000,175
MSFT,Microsoft Corporation,2023,65000,210000,85000,20000,7450000000,350
MSFT,Microsoft Corporation,2022,60000,195000,80000,20000,7500000000,320
MSFT,Microsoft Corporation,2021,55000,180000,75000,20000,7550000000,300